BusID,Name,Latitude,Longitude
10004,ALCAZAR,35.072411,-106.567855
10007,ALLISON#,35.519469,-108.775131
10008,ALLISON,,
10009,ALLISONT,35.519469,-108.775131
10010,AMBROSIA,35.404,-107.849934
10011,AMBROSIA,35.404,-107.849934
10012,ANDERSON,35.025201,-106.681179
10016,ARRIBA,35.643583,-105.181251
10017,ARRIBA,,
10018,ARRIBA_T,35.641996,-105.243582
10019,ASPEN,35.104261,-106.673039
10021,AVILA,35.29171,-106.556065
10023,AVILA_T,35.29171,-106.556065
10024,B-A,35.349687,-106.484473
10025,B-A,35.349687,-106.484473
10029,BALL_PRK,,
10031,BECKNER,35.611902,-106.028637
10033,BEL_AIR,35.110558,-106.586911
10035,BELAIR_T,35.110558,-106.586911
10039,BEV_WOOD,35.095365,-106.569041
10042,BLCKRA,35.215496,-106.728374
10044,BLCKRA_T,35.215496,-106.728374
10049,BROADWAY,,
10054,MSSIONT,35.14113,-106.613648
10058,CAPITOL,,
10059,CB108,35.225571,-106.653477
10060,CENTRALP,35.068964,-106.74542
10062,CG-1,35.095611,-106.604853
10063,CHURCH_R,35.659579,-108.501627
10065,CHURCHRT,35.659579,-108.501627
10066,CLAREMNT,35.114041,-106.63615
10069,COAL,35.078067,-106.630059
10071,COAL_TAP,35.078067,-106.630059
10075,COLINAS,35.50735,-105.921145
10077,COLLGE,34.722153,-106.709389
10078,COLLGE,,
10079,CORNEL_T,35.079329,-106.619977
10080,CORNELL,35.079329,-106.619977
10082,CORRALB,35.225571,-106.653477
10083,COTTONWD,35.198126,-106.652782
10085,COTTONWT,35.198126,-106.652782
10086,CUCHILLA,35.321052,-106.393389
10087,CUCHILLA,,
10090,DEMING_W,,
10091,EAST_TAP,35.100574,-106.500061
10092,EASTRDGE,35.100574,-106.500061
10094,EB-HW,35.131458,-106.54944
10095,EB-TL,35.131458,-106.54944
10096,EL_CERRO,34.796887,-106.671851
10100,ELDORAD#,35.546396,-105.925672
10102,ELDRADOT,35.546396,-105.925672
10103,EMBUDO,35.12654,-106.495585
10105,FOURHILL,35.057384,-106.498422
10110,DIAMOND_TAIL,35.361424,-106.339136
10114,GIRARD,35.112763,-106.614259
10116,GUADLUPE,35.101026,-105.020057
10117,HALONA,,
10118,HAMILTON,35.159536,-106.528694
10121,HAWKINS#,35.159755,-106.594779
10125,HAZELDIN,,
10126,HERMANAS,32.24722,-107.783119
10127,HERMANAS,,
10129,HICKOX,,
10130,HONDALE,32.13844,-107.768702
10131,HONDALE,,
10133,HW-CG,35.095611,-106.604853
10136,IDEAL,,
10137,IND_HOSP,35.08934,-106.61604
10139,INEZ,35.109875,-106.551331
10143,IRVING,35.188441,-106.662704
10144,ISLETAPA,34.903959,-106.708346
10149,JEFFERSN,35.176485,-106.595085
10150,JEFFERSN,,
10151,JEFFRSNT,35.176485,-106.595085
10152,JUANTABO,35.110952,-106.515987
10155,PROSPER,35.002819,-106.637624
10156,KAISER,,
10161,KELEHER,,
10162,KERMAC,35.399537,-107.836827
10163,KERMAC,,
10164,KERMACT,35.399537,-107.836827
10167,LAWRENC#,35.068979,-106.492781
10169,LAWRNCET,35.068979,-106.492781
10170,LENKURT,35.076563,-106.528816
10172,LEYENDKR,35.131071,-106.571781
10174,LOMAS,35.090444,-106.647274
10175,HAMILTON2,35.159536,-106.528694
10179,LOSANGEL,35.174211,-106.60874
10186,LUNA,32.303757,-107.779403
10187,M_PLAZA,35.134169,-106.589525
10189,LA LUZ,,
10192,MANZANO,34.774984,-106.678427
10194,MARIPOSA,35.153664,-106.697163
10196,MARQUEZ,35.257774,-107.253781
10198,MARQUEZT,35.228192,-107.245844
10199,MEJIA,35.703911,-105.958013
10201,MEJIA_T,35.703911,-105.958013
10202,MENAUL,35.109565,-106.566122
10204,MSSION,35.14113,-106.613648
10206,MIMBRES,32.281445,-107.762504
10207,MONTANO,35.137573,-106.636502
10209,MONTANOT,35.137573,-106.636502
10210,MORRIS,35.13016,-106.525479
10212,MPLAZA_T,35.134169,-106.589525
10216,NEWELL,,
10221,NO_BERN,35.316009,-106.525246
10223,NOE,35.515741,-108.736738
10224,NOE,,
10225,NOE_TAP,35.515741,-108.736738
10227,NORTHPNM,35.139683,-106.60364
10229,NORTON,35.764504,-106.10942
10230,NORTON_1,35.764504,-106.10942
10231,NORTON_2,35.764504,-106.10942
10232,OJO,36.112186,-106.159766
10233,ORTIZ,35.081511,-106.585739
10236,PANORAMA,35.239991,-106.658459
10238,PANORAMT,35.239991,-106.658459
10239,PARADIS1,35.180002,-106.671651
10245,PERSON,35.028721,-106.644345
10248,PILLAR,36.485243,-108.272339
10250,RICHMOND_PNM,35.111677,-106.610626
10251,LA LUZ,34.616875,-106.815677
10252,UNSER,35.124779,-106.725542
10255,PRAGER,35.105603,-106.660823
10257,PRINCESS,35.0941,-106.533732
10260,RANCHERS,35.39527,-107.738205
10261,REEVE_G1,,
10262,REEVE_G2,,
10263,REEVE_G3,,
10265,REEVES_1,35.171561,-106.602525
10266,REEVES_2,35.171561,-106.602525
10268,RIOHONDO,35.266028,-106.626911
10272,RITA,35.095611,-106.604853
10275,RODEO_T,35.631641,-106.000374
10276,STUDIO,34.993016,-106.61399
10277,STUDIO,,
10282,S._COORS,35.016085,-106.71528
10284,S.JOSEPH,35.113741,-106.696965
10291,SAN_JUAN,36.802669,-108.443812
10292,SAN_JUAN,36.802669,-108.443812
10294,SANDIA,35.051532,-106.530553
10295,SANDIA_1,35.051532,-106.530553
10296,SANDIA_2,35.051532,-106.530553
10297,SANLUCAS,35.487567,-107.662426
10299,SANPEDRO,35.102706,-106.577099
10302,SARA_CS,35.228217,-106.654548
10303,SARA_CT,35.227674,-106.654542
10310,SEWER_PL,35.016336,-106.669596
10313,SHELLTAP,35.3529,-106.386195
10315,SIGNET_T,35.191268,-106.585999
10316,SIGNETIC,35.191268,-106.585999
10318,SJUAN_G1,,
10321,SJUAN_G4,,
10322,SLUCAS_T,35.373743,-107.650626
10323,SP-83,35.081511,-106.585739
10324,SP-HW-UT,35.081511,-106.585739
10326,SPACHECO,35.653815,-105.957257
10328,SPEDRO_T,35.102706,-106.577099
10329,STATEPEN,35.591094,-106.052695
10331,SUNSHIN#,35.535615,-108.725257
10332,SUNSHINE,,
10333,SUNSHN_T,35.535615,-108.725257
10334,T4,,
10337,THOMAS,35.131458,-106.54944
10341,TL-1,35.131458,-106.54944
10343,TOME,34.659832,-106.735827
10344,TOME,,
10345,TRAMWAY,35.152955,-106.497701
10347,TRUMAN,35.072571,-106.58699
10349,TRUMAN_T,35.072571,-106.58699
10350,UNITED,35.399537,-107.836827
10351,UNITED,,
10352,UNM_1&2,,
10353,UNM_N,35.087242,-106.619152
10355,UNM_T,35.087242,-106.619152
10357,VALENCIA,35.587234,-105.24864
10363,WAYNE 1,35.178862,-106.629242
10365,WESMECO,35.049959,-106.644907
10367,WESMECOT,35.049959,-106.644907
10368,WESTMESA,35.11533,-106.725791
10369,WESTMESA,35.11533,-106.725791
10370,WESTMS_1,35.11533,-106.725791
10371,WESTMS_2,35.11533,-106.725791
10372,WAYNE 2,35.178862,-106.629242
10375,WINGATE,,
10376,WINROCK,35.094404,-106.559964
10380,WYOMING,35.159664,-106.561447
10382,YAHTAHEY,35.593525,-108.815805
10386,ZIA_1,35.632673,-105.999811
10390,RIOPUERC,35.3279,-106.856477
10393,LEF,32.300002,-107.784065
10403,CABEZON,35.74458,-107.133445
10404,ACOMA_TAP,,
10405,ACOMA,,
10406,CABRIO11,,
10412,FIRST_ST,34.657276,-106.769108
10413,JARALES,34.611208,-106.767967
10414,JARALEST,34.611208,-106.767967
10416,LOS_MORR,34.824135,-106.765696
10418,FRST_STT,34.657276,-106.769108
10419,KEWA,35.469795,-106.302781
10420,FC_SOLAR,,
10421,FCSOL_C1,,
10422,FCSOL_C2,,
10423,FCSOL_PV,,
10424,FCSOL_C3,,
10425,FCSOL_BE,,
10440,ENCHNTED,35.337444,-106.583659
10444,LSTHRZNT,35.071066,-106.860233
10445,LOSTHRZN,35.077584,-106.86465
10455,VOLCANOT,35.076163,-106.717521
10456,VOLCANO,35.076163,-106.717521
10457,AN_TAP,35.69395,-106.084174
10460,RANDLPHT,35.053286,-106.624681
10461,RANDLPH,35.053286,-106.624681
10463,ROY,35.2019,-106.591267
10465,SCENICNM,35.167108,-106.727345
10466,SCENICNM,,
10470,PRGRSS,35.37,-106.56
10472,PACHMANN,35.310838,-106.616077
10477,CB108A,35.225571,-106.653477
10478,RIOPUERC,35.3279,-106.856477
10479,IRIS,35.303775,-106.627334
10481,ZAFARANT,35.645742,-106.013621
10482,MGLLUJAN,35.662883,-105.990834
10483,VERANDA2,,
10484,GALLINAT,35.641996,-105.243582
10485,AFTONS,,
10486,AFTONG,,
10490,LB_INT,32.349116,-108.697866
10491,LRDSBGG1,,
10492,LRDSBGG2,,
10494,DEMING_E,,
10495,DEM_GOLD,,
10497,HERMANAT,32.275977,-107.772998
10499,DEMTAP1,32.273941,-107.760422
10500,DEMGOLDT,32.273941,-107.760422
10501,CDELRIO,35.688584,-106.079579
10503,ZIA_2,35.632673,-105.999811
10504,DEMTAP2,32.277118,-107.761299
10510,AIRPOR_T,32.303835,-106.95653
10521,SNOW_VISTA,35.045276,-106.73694
10522,SNOW_VISTA,,
10532,BRITTON_PNM,35.012779,-106.095964
10533,MENDOZAT,35.532045,-108.618751
10534,MENDOZA,,
10535,ALLISON2,,
10546,INNOVATION,,
10547,BLACKWTR MP,,
10548,BLACKWTR A2,,
10549,BLACKWTR-SC,,
10552,JEC_SPV1,,
10553,HAWKINS2,35.159755,-106.594779
10555,LA_MORADA,35.113386,-106.727072
10556,LA_MORADA,,
10557,SANJUAN_SS,,
10559,SJ_23_SSERV,,
10561,JEC_SPV1-C,,
10562,JEC,,
10563,JEC,,
10564,JEC_BES,,
10565,JEC_BES-C,,
10566,JEC_SPV2,,
10567,JEC_SPV2-C,,
10568,PETROGLYPH,,
10569,PETROGLYPH,,
10630,ARROYO_POI,,
10631,ARROY_STA,,
10632,ARROY_C1,,
10633,ARROY_C1A,,
10634,ARROY_C1B,,
10635,ARRRIO11,,
10636,ARROY_BS1,,
10637,ARROY_C2,,
10638,ARROY_C2A,,
10639,ARROY_C2B,,
