Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,PV-3,OA,Solar Photovoltaic,PV,Electric Utility,1,0.2,0.2,0.2,6,2001,,Y,,,,,,,,,180,33.4,0.3,Y,,,,,,N, ,N, 
18454,Tampa Electric Co,645,Big Bend,FL,Hillsborough,1,OP,Solar Photovoltaic,PV,Electric Utility,1,19.8,19.8,19.8,2,2017,,Y,,,,N,,,,,180, ,23,,Y,,,,,N, ,N, 
7095,City of Geneseo - (IL),944,Geneseo,IL,Henry,12,OP,Solar Photovoltaic,PV,Electric Utility,1,1.2,0.9,0.9,8,2015,,N,,Y,,,,,,,180,30,1.2,Y,,,,,,N, ,N, 
16179,Rochelle Municipal Utilities,960,North Ninth Street,IL,Ogle,SOL1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.3,0.3,0.3,11,2014,,N,,Y,,,,,,,180,25,0.3,Y,,,,,,Y,0.3,N, 
6235,Fayetteville Public Works Commission,1016,Butler-Warner Generation Plant,NC,Cumberland,10,OP,Solar Photovoltaic,PV,Electric Utility,1,1,1,1,6,2019,,,,Y,,,,,,,180,25,1,Y,,,,,,N, ,N, 
14201,City of Osage - (IA),1172,Osage (IA),IA,Mitchell,SO,OP,Solar Photovoltaic,PV,Electric Utility,1,0.8,0.8,0.1,11,2016,,,,Y,,,,,,,35,35,0.9,Y,,,,,,N, ,N, 
10171,Kentucky Utilities Co,1355,E W Brown,KY,Mercer,SOLAR,OP,Solar Photovoltaic,PV,Electric Utility,1,13,10,10,5,2016,,,,Y,,,,,,,180,16,14.1,Y,,,,,,N, ,N, 
6779,City of Fremont - (NE),2240,Lon Wright,NE,Dodge,SLR1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.3,1.3,1.3,3,2018,,Y,,N,,,,,,,180, ,1.5,Y,,,,,,N, ,N, 
6779,City of Fremont - (NE),2240,Lon Wright,NE,Dodge,SLR2,OP,Solar Photovoltaic,PV,Electric Utility,1,1,1,1,9,2018,,Y,,N,,,,,,,180, ,1.2,Y,,,,,,N, ,N, 
61919,Kimura Power LLC,2854,Yankee Street,OH,Montgomery,YS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,1.1,1.1,3,2010,,,,Y,,,,,,,180,25,2.5,Y,,Y,,,,N, ,N, 
14063,Oklahoma Gas & Electric Co,2953,Mustang,OK,Canadian,SLR1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.5,2.5,2.5,8,2015,,Y,,Y,,,,,,,180,25,3,Y,,,,,,N, ,N, 
56211,Evergy Missouri West,6074,Greenwood (MO),MO,Jackson,5,OP,Solar Photovoltaic,PV,Electric Utility,1,3,3,3,6,2016,,,,Y,,,,,,,185,15,3.6,Y,,,,,,N, ,N, 
