Predominant Turbine Manufacturer,Predominant Turbine Model Number,id,manufacturer,model,power_rated_power
Acciona,AW100/3000,142-acciona-aw-100-3000,Acciona,AW-100/3000,"3,000.0 kW"
Acciona,AW116/3000,784-acciona-aw-116-3000,Acciona,AW-116/3000,"3,000.0 kW"
Acciona,AW125/3000,785-acciona-aw-125-3000,Acciona,AW-125/3000,"3,000.0 kW"
Acciona,AW125/3150,785-acciona-aw-125-3000,Acciona,AW-125/3000,"3,000.0 kW"
Acciona,AW132/3000,980-acciona-aw-132-3000,Acciona,AW-132/3000,"3,000.0 kW"
Acciona,AW77/1500,778-acciona-aw-77-1500,Acciona,AW-77/1500,"1,500.0 kW"
Acciona,AW82/1500,585-acciona-aw-82-1500,Acciona,AW-82/1500,"1,500.0 kW"
Alstom,ECO86,794-alstom-eco-86,Alstom,ECO 86,"1,670.0 kW"
Alstom,Haliade 150,139-alstom-haliade-150,Alstom,Haliade 150,"6,000.0 kW"
Bonus,Bonus 65/13kW,1348-bonus-b62-1300,Bonus,B62/1300,"1,300.0 kW"
CCWE,CCWE-3600/115.D,1699-ccwe-ccwe3600hd,CCWE,CCWE3600HD,"3,600.0 kW"
Clipper,Liberty C89,509-clipper-c89,Clipper,C89,"2,500.0 kW"
Clipper,Liberty C93,508-clipper-c93,Clipper,C93,"2,500.0 kW"
Clipper,Liberty C96,507-clipper-c96,Clipper ,C96,"2,500.0 kW"
CPC,FD77-1500-IIIA,2221-dongfang-fd77-1500-geared,Dongfang,FD77-1500 geared,"1,500.0 kW"
Danwin,Danwin 23/160,599-danwin-danwin-23-160,Danwin,Danwin 23/160,160.0 kW
DeWind,D8.2,85-dewind-d8.2-windrive,DeWind,D8.2 WinDrive,"2,000.0 kW"
DeWind,D9.2,911-dewind-d9.2-windrive,DeWind,D9.2 WinDrive,"2,000.0 kW"
EWT,DW54-900,335-ewt-dw-54-900,EWT,DW 54-900,900.0 kW
Fuhrlander,FL 1000,70-fuhrlaender-fl-1000,Fuhrländer,FL 1000,"1,000.0 kW"
Fuhrlander,FL 1500-77,357-fuhrlaender-fl-md-77,Fuhrländer,FL MD 77,"1,500.0 kW"
Fuhrlander,FL 250,280-fuhrlaender-fl-250,Fuhrländer,FL 250,250.0 kW
