utility_id,utility_name,plant_code,plant_name,street_address,city,state,zip,county,latitude,longitude,nerc_region,balancing_authority_code,balancing_authority_name,name_of_water_source,primary_purpose_naics_code,regulatory_status,sector,sector_name,ferc_cogeneration_status,ferc_cogeneration_docket_number,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,energy_storage,natural_gas_ldc_name,natural_gas_pipeline_name_1,natural_gas_pipeline_name_2,natural_gas_pipeline_name_3,pipeline_notes,natural_gas_storage,liquefied_natural_gas_storage
63560,"TDX Sand Point Generating, LLC",1,Sand Point,100 Power Plant Way,Sand Point,AK,99661,Aleutians East,55.339722,-160.497222,,,,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,"TDX Sand Point Generating, LLC",63560,AK,0.48, , ,N,,,,,,N,X
13642,Nome Joint Utility Systems,90,Snake River,1226 Port Road,Nome,AK,99762,Nome,64.505331,-165.429814,,,,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nome Joint Utility Systems,13642,AK,4, , ,N,,,,,,X,X
10633,City of Lamar - (CO),508,Lamar Plant,100 North Second Street,Lamar,CO,81052,Prowers,38.033327,-102.537915,WECC,PSCO,Public Service Company of Colorado,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Lamar - (CO),10633,CO,69, , ,N,,COLORADO INTERSTATE GAS COMPANY LLC,,,,N,X
62042,SRIV Partnership LLC,692,Medicine Bow,475 Carbon Co. Rd. 3,Medicine Bow,WY,82329,Carbon,41.835278,-106.242778,WECC,WAUW,Western Area Power Administration UGP West,,22,NR,2,IPP Non-CHP,N,,Y,14-162-000,N,,N,X,,WAPA-- Western Area Power Administration,27000,WY,245, , ,N,,,,,,N,X
7095,City of Geneseo - (IL),944,Geneseo,433 East North Street,Geneseo,IL,61254,Henry,41.451494,-90.148547,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Geneseo - (IL),7095,IL,69, , ,N,NICOR GAS,,,,,X,X
14201,City of Osage - (IA),1172,Osage (IA),720 Chestnut,Osage,IA,50461,Mitchell,43.279722,-92.810556,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Osage - (IA),14201,IA,69, , ,N,,NORTHERN NATURAL GAS,,,,N,
13048,City of Mountain Lake - (MN),1998,Mountain Lake,925 2nd Ave.,Mountain Lake,MN,56159,Cottonwood,43.9405,-94.9434,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,RE,1,Electric Utility,N,,N,,N,,,X,,City of Mountain Lake - (MN),13048,MN,69, , ,N,MINNESOTA ENERGY RESOURCES,,,,,N,
20737,Willmar Municipal Utilities,2022,Willmar,710 Benson Avenue Southwest,Willmar,MN,56201,Kandiyohi,45.121705,-95.053236,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Willmar Municipal Utilities,20737,MN,12.47, , ,N,,CENTERPOINT ENERGY INTRASTATE PL LLC,,,,N,N
21013,City of Worthington - (MN),2024,Worthington,399 Stower Dr,Worthington,MN,56187,Nobles,43.63349,-95.609234,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,RE,1,Electric Utility,N,,N,,N,,,X,,City of Worthington - (MN),21013,MN,12.47, , ,N,,,,,,,
6779,City of Fremont - (NE),2240,Lon Wright,2701 East 1st Street,Fremont,NE,68025,Dodge,41.4281,-96.4623,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,Y,Y,OP,City of Fremont - (NE),6779,NE,69, , ,N,,NORTHERN NATURAL GAS,,,,N,X
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,245 4th Street,Kotzebue,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,,,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Kotzebue Electric Assn Inc,10451,AK,7.2, , ,Y,,,,,,N,X
7601,Green Mountain Power Corp,7381,Searsburg Wind Turbine,528 Sleepy Hollow Road,Searsburg,VT,5363,Bennington,42.8625,-72.9628,NPCC,ISNE,ISO New England Inc.,,22,RE,1,Electric Utility,N,,N,,N,,,X,,Green Mountain Power Corp,7601,VT,34.5, , ,N,,,,,,,
