id,x_coords,y_coords,num_coords
90,"[-165.425278, -165.427673, -165.43338, -165.431473, -165.427475, -165.427475, -165.427277, -165.432816, -165.427277, -165.433685, -165.42868, -165.43486, -165.428772, -165.434616, -165.426483, -165.426453, -165.431274]","[64.572205, 64.570503, 64.563202, 64.562302, 64.571701, 64.569099, 64.571198, 64.562347, 64.568398, 64.565155, 64.567902, 64.56337, 64.568703, 64.564163, 64.571999, 64.570297, 64.566704]",17
508,"[-102.650894, -102.532188, -102.537888, -102.535042, -102.528992]","[37.362293, 38.032494, 38.033295, 38.032902, 38.032093]",5
692,"[-106.24057, -106.242531, -106.241226, -106.246689, -106.243797, -106.241867, -106.243172, -106.239914, -106.247787]","[41.830673, 41.834377, 41.831905, 41.839893, 41.836849, 41.833138, 41.835594, 41.829453, 41.840591]",9
944,"[-90.152763, -90.156578]","[41.426113, 41.426159]",2
1158,[-94.538094],[40.896694],1
1172,[-92.840591],[43.292492],1
1190,[-94.327393],[41.493992],1
1998,[-94.943382],[43.940548],1
2022,"[-95.007996, -95.006927]","[45.156693, 45.159325]",2
2024,"[-95.682388, -95.675392, -95.682388, -95.678894, -95.678696, -95.675392]","[43.619991, 43.622692, 43.622692, 43.622692, 43.619991, 43.619991]",6
6299,"[-160.770096, -160.770172, -160.770142, -160.770172, -160.770126, -160.770172]","[63.907703, 63.91, 63.90847, 63.910702, 63.909184, 63.911499]",6
6304,"[-162.56337, -162.559967, -162.557373, -162.563171, -162.563278, -162.563278, -162.551468, -162.551605, -162.551468, -162.557388, -162.557388, -162.557343, -162.557373, -162.557373, -162.557343, -162.563278, -162.557373]","[66.836594, 66.831604, 66.83712, 66.839905, 66.839203, 66.838501, 66.839905, 66.838516, 66.839203, 66.839165, 66.83989, 66.835724, 66.83783, 66.838501, 66.835022, 66.837799, 66.836395]",17
6311,"[-165.607483, -165.610184, -165.606064, -165.608871]","[61.524601, 61.525402, 61.524242, 61.525002]",4
6319,"[-166.09758, -166.096573, -166.095474]","[61.535702, 61.5359, 61.535702]",3
6338,[-163.250778],[62.034767],1
6341,"[-160.019592, -160.01767, -160.0186]","[66.60891, 66.607803, 66.608353]",3
6566,[-161.886581],[60.780571],1
7381,"[-72.962898, -72.962402, -72.966202, -72.9618, -72.961098, -72.966301, -72.9589, -72.965202, -72.959496, -72.965698, -72.963699]","[42.862591, 42.862991, 42.85849, 42.86359, 42.863892, 42.85799, 42.86499, 42.85939, 42.86459, 42.858891, 42.861992]",11
7501,"[-71.899796, -71.899597]","[42.47879, 42.47699]",2
7526,"[-121.774284, -121.774887, -121.774284, -121.774284, -121.775284, -121.775085, -121.774788, -121.775085, -121.771889, -121.755188, -121.763588, -121.771988, -121.754486, -121.761986, -121.755585, -121.762489, -121.784988, -121.784889, -121.762085, -121.770988, -121.77079, -121.760788, -121.761688, -121.76049, -121.760689, -121.772987, -121.771988, -121.754189, -121.785088, -121.773087, -121.768089, -121.77549, -121.767586, -121.76799, -121.767586, -121.767387, -121.767189, -121.774284, -121.775787, -121.767685, -121.774284, -121.774689, -121.767883, -121.768188, -121.775589, -121.77549, -121.773888, -121.775284, -121.775208, -121.774689, -121.77459, -121.77301]","[38.107197, 38.098896, 38.105595, 38.103893, 38.095695, 38.097294, 38.102196, 38.100594, 38.093796, 38.095295, 38.095295, 38.112095, 38.093697, 38.100895, 38.091896, 38.097095, 38.109097, 38.105896, 38.103596, 38.092396, 38.090694, 38.110294, 38.098896, 38.108395, 38.106594, 38.114197, 38.110195, 38.089996, 38.107494, 38.129993, 38.122093, 38.131695, 38.125095, 38.123596, 38.124393, 38.127296, 38.126495, 38.131195, 38.134396, 38.121296, 38.132896, 38.133495, 38.122795, 38.120495, 38.125195, 38.124195, 38.121796, 38.123394, 38.126007, 38.122597, 38.126995, 38.129013]",52
7769,"[-155.765274, -155.765228, -155.763199, -155.768051, -155.767197]","[19.989264, 19.986008, 19.986959, 19.988411, 19.986536]",5
7771,"[-99.77739, -99.774788]","[42.825794, 42.827194]",2
7855,"[-96.727356, -96.734795]","[46.895161, 46.895092]",2
7886,"[-87.635086, -87.637985, -87.647392, -87.643196, -87.627266, -87.649895, -87.647224, -87.655807, -87.630363, -87.627693, -87.645798, -87.629997, -87.628693, -87.65847, -87.657166, -87.630363, -87.656174]","[44.673321, 44.672607, 44.64529, 44.63649, 44.669689, 44.642094, 44.643341, 44.644131, 44.664154, 44.667393, 44.637894, 44.669292, 44.671192, 44.641022, 44.645672, 44.665543, 44.642448]",17
7927,"[-84.339096, -84.338295, -84.338669]","[36.121895, 36.119793, 36.120659]",3
7936,"[-119.078384, -119.093483, -119.080353, -119.086037, -119.084488, -119.112106, -119.068962, -119.108948, -119.105118, -119.075218, -119.082588, -119.114799, -119.098885, -119.078987, -119.107086, -119.107323, -119.073349, -119.090385, -119.088585, -119.082245, -119.084129, -119.103432, -119.086288, -119.110527, -119.106445, -119.080788, -119.100784, -119.095085, -119.110985, -119.112885, -119.102882, -119.09211, -119.108986, -119.088425, -119.104881, -119.096985, -119.070824, -119.158089, -119.140884, -119.149185, -119.152985, -119.145386, -119.142288, -119.147285, -119.155884, -119.151588, -119.143684, -119.154388, -119.15049, -119.129135, -119.13089, -119.136185, -119.140205, -119.136086, -119.123184, -119.159988, -119.075989, -119.162987, -119.144287, -119.071785, -119.138687, -119.068687, -119.132683]","[46.106735, 46.097294, 46.107182, 46.108459, 46.093594, 46.082874, 46.104637, 46.081257, 46.10046, 46.106041, 46.092995, 46.101917, 46.098694, 46.091892, 46.100796, 46.080433, 46.105625, 46.095394, 46.094795, 46.107597, 46.108013, 46.076977, 46.094193, 46.082073, 46.078758, 46.092495, 46.099094, 46.097996, 46.101295, 46.101593, 46.099293, 46.096073, 46.101093, 46.108582, 46.07793, 46.098392, 46.105042, 46.110394, 46.103992, 46.106094, 46.109093, 46.105595, 46.104492, 46.105793, 46.110195, 46.108093, 46.104996, 46.109592, 46.107193, 46.118526, 46.093193, 46.095394, 46.120499, 46.119995, 46.094093, 46.112793, 46.091293, 46.114494, 46.120995, 46.089294, 46.100693, 46.087894, 46.119194]",63
7965,"[-96.623299, -96.62635]","[40.904003, 40.903519]",2
7966,"[-94.140846, -94.14077, -94.140884]","[43.034908, 43.037441, 43.032356]",3
7974,"[-99.248688, -99.246994]","[43.847694, 43.849392]",2
