manufacturer,model,rotor_diameter,cut_in_speed,rated_speed,cut_out_speed,rated_power,wind_spd_ms,power_kw,source
2-B Energy,2B6,140.6,3.0,13.0,,6000.0,,,wind turbines db
AAER,A1500-70,77.0,3.0,11.8,20.0,1500.0,,,wind turbines db
AAER,A1500-77,77.0,3.0,11.0,20.0,1500.0,,,wind turbines db
AAER,A2000-71,71.0,,,,2000.0,,,wind turbines db
AAER,A2000-80,80.0,,,,2000.0,,,wind turbines db
AAER,A2000-84,84.0,,,,2000.0,,,wind turbines db
Acciona,AW-70/1500,70.0,4.0,11.6,25.0,1500.0,,,wind turbines db
Acciona,AW-77/1500,77.0,3.5,11.1,25.0,1500.0,,,wind turbines db
Acciona,AW-82/1500,82.0,3.0,10.5,20.0,1500.0,,,wind turbines db
Acciona,AW-100/3000,100.0,4.0,11.7,25.0,3000.0,,,wind turbines db
Acciona,AW-109/3000,109.0,3.5,11.1,25.0,3000.0,,,wind turbines db
Acciona,AW-116/3000,116.0,3.0,10.6,20.0,3000.0,,,wind turbines db
Acciona,AW-125/3000,125.0,3.5,12.0,25.0,3000.0,,,wind turbines db
Acciona,AW-132/3000,132.0,3.0,,25.0,3000.0,,,wind turbines db
Acciona,AW-140/3000,140.0,3.0,,20.0,3000.0,,,wind turbines db
Acciona,AW-148/3300,148.0,3.0,,20.0,3300.0,,,wind turbines db
Acowind,A-63,56.0,3.0,12.0,25.0,1000.0,,,wind turbines db
ACSA,LMW-0.250,1.7,3.0,10.0,,0.3,,,wind turbines db
ACSA,LMW-0.600,2.2,3.0,12.0,,0.6,,,wind turbines db
ACSA,LMW-1.000,3.1,2.5,10.5,,1.0,,,wind turbines db
ACSA,LMW-1.500,3.1,2.5,10.5,,1.0,,,wind turbines db
ACSA,LMW-2.000,5.0,3.0,10.0,,2.0,,,wind turbines db
ACSA,LMW-3.000,5.0,4.0,12.0,,3.0,,,wind turbines db
ACSA,LMW-10.000,7.0,3.0,13.0,,10.0,,,wind turbines db
ACSA,A17/90,17.0,3.3,16.8,28.0,90.0,,,wind turbines db
ACSA,A20/100,20.0,4.5,13.0,25.0,100.0,,,wind turbines db
ACSA,A27/225,27.0,3.5,13.5,25.0,225.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[0.0, 0.0, 0.0, 5.0, 17.0, 33.0, 55.0, 83.0, 115.0, 149.0, 181.0, 206.0, 219.0, 224.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0]",wind turbines db
ACSA,A29/225,29.0,4.0,13.0,25.0,225.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[0.0, 0.0, 0.0, 7.1, 20.5, 38.3, 61.9, 92.2, 127.9, 164.9, 196.4, 216.0, 223.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0, 225.0]",wind turbines db
ADES,ADES 60,29.0,3.5,8.0,20.0,60.0,,,wind turbines db
ADES,ADES 100,29.0,3.5,10.0,20.0,100.0,,,wind turbines db
ADES,ADES 200,36.0,4.0,11.5,25.0,200.0,,,wind turbines db
ADES,ADES 335,36.0,3.0,12.0,25.0,335.0,,,wind turbines db
Adolfsen Mølle,SA 11,9.0,,,,11.0,,,wind turbines db
AWT Inc.,AWT-26 / WC-86,26.2,5.4,17.0,24.6,275.0,"[4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5]","[0.0, 11.0, 30.0, 57.0, 90.0, 127.0, 164.0, 198.0, 228.0, 247.0, 260.0, 267.0, 272.0, 275.0, 275.0, 271.0, 266.0, 262.0]",wind turbines db
AWT Inc.,AWT-27,27.4,5.0,15.0,23.0,275.0,,,wind turbines db
AWP A/S,AWP 90/18,18.6,4.0,13.0,25.0,90.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[0.0, 0.0, 0.0, 1.0, 4.5, 10.0, 19.0, 28.0, 40.0, 52.0, 65.0, 76.0, 84.0, 89.0, 92.5, 94.5, 95.0, 92.5, 92.0, 89.0, 87.5, 87.0, 87.0, 87.5, 88.0]",wind turbines db
AWP A/S,AWP 200/23,23.0,4.0,13.0,25.0,200.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0.0, 0.0, 0.0, 1.0, 8.5, 21.0, 37.5, 55.0, 78.0, 100.0, 125.0, 149.0, 170.0, 190.0, 207.0, 210.0, 215.0, 210.0, 205.0, 200.0]",wind turbines db
Adwen,AD 5-116,116.0,4.0,12.5,25.0,5000.0,,,wind turbines db
Adwen,AD 5-132,132.0,2.5,13.5,27.0,5000.0,,,wind turbines db
Adwen,AD 5-135,135.0,3.5,11.4,30.0,5050.0,,,wind turbines db
Adwen,AD 8-180,180.0,3.0,12.0,30.0,8000.0,,,wind turbines db
Aeolia Windtech,D2CF 200,28.0,3.0,10.9,20.0,200.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0.0, 0.0, 4.56, 10.81, 21.11, 36.49, 57.94, 86.48, 122.52, 164.26, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",wind turbines db
Aeolian,AEO-20,6.1,3.6,9.8,,6.0,,,wind turbines db
Aeolos,Aeolos-V 1kW,2.0,1.5,10.0,50.0,1.0,,,wind turbines db
Aeolos,Aeolos-H 1kW,3.2,2.5,12.0,25.0,1.0,,,wind turbines db
Aeolos,Aeolos-H 2kW,4.0,2.5,12.0,25.0,2.0,,,wind turbines db
Aeolos,Aeolos-V 3kW,3.0,1.5,10.0,52.5,3.0,,,wind turbines db
Aeolos,Aeolos-H 3kW,4.8,2.5,12.0,25.0,3.0,,,wind turbines db
Aeolos,Aeolos-V 5kW,4.5,1.5,10.0,52.5,5.0,,,wind turbines db
Aeolos,Aeolos-H 5kW,6.4,3.0,10.0,25.0,5.0,,,wind turbines db
Aeolos,Aeolos-V 10kW,5.5,2.5,11.0,52.5,10.0,,,wind turbines db
Aeolos,Aeolos-H 10kW,8.0,2.5,10.0,25.0,10.0,,,wind turbines db
Aeolos,Aeolos-H 20kW,10.0,3.0,10.0,25.0,20.0,,,wind turbines db
Aeolos,Aeolos-H 30kW,15.6,2.5,9.0,25.0,30.0,,,wind turbines db
Aeolos,Aeolos-H 50kW,18.0,3.0,10.0,25.0,50.0,,,wind turbines db
