Predominant Turbine Manufacturer,Predominant Turbine Model Number,manufacturer,model,power_rated_power
Acciona,AW100/3000,Acciona,AW-100/3000,"3,000.0 kW"
Acciona,AW116/3000,Acciona,AW-116/3000,"3,000.0 kW"
Acciona,AW125/3000,Acciona,AW-125/3000,"3,000.0 kW"
Acciona,AW125/3150,Acciona,AW-125/3000,"3,000.0 kW"
Acciona,AW132/3000,Acciona,AW-132/3000,"3,000.0 kW"
Acciona,AW77/1500,Acciona,AW-77/1500,"1,500.0 kW"
Acciona,AW82/1500,Acciona,AW-82/1500,"1,500.0 kW"
Alstom,ECO86,Alstom,ECO 86,"1,670.0 kW"
Alstom,Haliade 150,Alstom,Haliade 150,"6,000.0 kW"
Bonus,Bonus 65/13kW,Bonus,B62/1300,"1,300.0 kW"
CCWE,CCWE-3600/115.D,CCWE,CCWE3600HD,"3,600.0 kW"
Clipper,Liberty C89,Clipper,C89,"2,500.0 kW"
Clipper,Liberty C93,Clipper,C93,"2,500.0 kW"
Clipper,Liberty C96,Clipper ,C96,"2,500.0 kW"
CPC,FD77-1500-IIIA,Dongfang,FD77-1500 geared,"1,500.0 kW"
Danwin,Danwin 23/160,Danwin,Danwin 23/160,160.0 kW
DeWind,D8.2,DeWind,D8.2 WinDrive®,"2,000.0 kW"
DeWind,D9.2,DeWind,D9.2 WinDrive®,"2,000.0 kW"
EWT,DW54-900,EWT,DW 54-900,900.0 kW
Fuhrlander,FL 1000,Fuhrländer,FL 1000,"1,000.0 kW"
Fuhrlander,FL 1500-77,Fuhrländer,FL MD 77,"1,500.0 kW"
Fuhrlander,FL 250,Fuhrländer,FL 250,250.0 kW
Gamesa,AE59,Made - Endesa,AE-59,800.0 kW
Gamesa,G114-2.0,Gamesa,G114-2.0MW,"2,000.0 kW"
Gamesa,G126-2.5,Gamesa,G126-2.5MW,"2,500.0 kW"
Gamesa,G132-5.0,Gamesa,G132-5.0MW,"5,000.0 kW"
Gamesa,G47,Gamesa,G47,660.0 kW
Gamesa,G58-850,Gamesa,G58,850.0 kW
Gamesa,G78-2.0,Gamesa,G80,"2,000.0 kW"
Gamesa,G80-2.0,Gamesa,G80,"2,000.0 kW"
Gamesa,G87-2.0,Gamesa,G87,"2,000.0 kW"
Gamesa,G90-2.0,Gamesa,G90,"2,000.0 kW"
Gamesa,G97-2.0,Gamesa,G97,"2,000.0 kW"
GE,1.5 S,GE General Electric,GE 1.5s,"1,500.0 kW"
GE,1.5 SE,GE General Electric,GE 1.5se,"1,500.0 kW"
GE,1.5 SLE,GE General Electric,GE 1.5sle,"1,500.0 kW"
GE,1.5 XLE,GE General Electric,GE 1.5xle,"1,500.0 kW"
GE,1.5-77,GE General Electric,GE 1.5sle,"1,500.0 kW"
GE,1.5-82.5,GE General Electric,GE 1.5xle,"1,500.0 kW"
GE,1.6 82.5,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.6 SLE,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.6 XLE,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
