plant_code,plant_code_unique,plant_name,generator_id,state,county,ba,nerc_region,azimuth,tilt,system_capacity,module_type,array_type,lat,lon,losses
141,141,Agua Fria,PV-3,AZ,Maricopa,SRP,WECC,180,33.4,200,0,2,33.5561,-112.2153,14
645,645,Big Bend,1,FL,Hillsborough,TEC,SERC,180,27.7944,19800,2,2,27.7944,-82.4036,14
944,944,Geneseo,12,IL,Henry,MISO,MRO,180,30,1200,0,0,41.451494,-90.148547,14
960,960,North Ninth Street,SOL1,IL,Ogle,PJM,RFC,180,25,300,0,0,41.9093,-89.0498,14
1172,1172,Osage (IA),SO,IA,Mitchell,MISO,MRO,35,35,800,0,0,43.279722,-92.810556,14
1355,1355,E W Brown,SOLAR,KY,Mercer,LGEE,SERC,180,16,13000,0,0,37.78831,-84.71257,14
2240,2240,Lon Wright,"SLR1,SLR2",NE,Dodge,SWPP,MRO,180,41.4281,2300,0,2,41.4281,-96.4623,14
2854,2854,Yankee Street,YS1,OH,Montgomery,PJM,RFC,180,25,1100,2,0,39.603,-84.2047,14
2953,2953,Mustang,SLR1,OK,Canadian,SWPP,MRO,180,25,2500,0,0,35.46988,-97.67498,14
6074,6074,Greenwood (MO),5,MO,Jackson,SWPP,MRO,185,15,3000,0,0,38.8615,-94.2982,14
6125,6125,Shrewsbury,S1,MA,Worcester,ISNE,NPCC,0,15,3000,0,0,42.2747,-71.7172,14
10029,10029,General Electric Aircraft Engines,PV,MA,Essex,ISNE,NPCC,180,25,2100,0,0,42.45,-70.9739,14
10224,10224,Merck Rahway Power Plant,SOLAR,NJ,Union,PJM,RFC,229,5,500,0,0,40.615616,-74.26529,14
10437,10437,Sunray 2,SUN2,CA,San Bernardino,CISO,WECC,180,34.863356,20000,0,2,34.863356,-116.827627,14
10438,10438,Sunray 3,SUN3,CA,San Bernardino,CISO,WECC,180,34.863356,13800,0,2,34.863356,-116.827627,14
10439,10439,SEGS III,GEN1,CA,San Bernardino,CISO,WECC,180,35.00694,34200,0,2,35.00694,-117.555768,14
10440,10440,SEGS IV,GEN1,CA,San Bernardino,CISO,WECC,180,35.012166,34200,0,2,35.012166,-117.555672,14
10441,10441,SEGS V,GEN1,CA,San Bernardino,CISO,WECC,180,35.01948,34200,0,2,35.01948,-117.55553,14
10442,10442,SEGS VI,GEN1,CA,San Bernardino,CISO,WECC,180,35.020981,35000,0,2,35.020981,-117.566079,14
10443,10443,SEGS VII,GEN1,CA,San Bernardino,CISO,WECC,180,35.014836,35000,0,2,35.014836,-117.565903,14
10444,10444,SEGS VIII,GEN1,CA,San Bernardino,CISO,WECC,180,35.0308,92000,0,2,35.0308,-117.3563,14
10446,10446,SEGS IX,GEN1,CA,San Bernardino,CISO,WECC,180,35.033,92000,0,2,35.033,-117.338,14
10823,10823,Deer Island Treatment Plant,PV101,MA,Suffolk,ISNE,NPCC,180,15,100,0,0,42.353333,-70.962778,14
50765,50765,Stillwater Facility,1,NV,Churchill,NEVP,WECC,180,16.2,22000,0,0,39.547537,-118.555613,14
54569,54569,Bayville Central Facility,CPV1,NJ,Ocean,PJM,RFC,90,10,200,0,0,39.909424,-74.178041,14
56228,56228,Prescott Airport,PV1,AZ,Yavapai,AZPS,WECC,30,30,3000,0,2,34.6584,-112.4008,14
56322,56322,Wild Horse,WHS1,WA,Kittitas,PSEI,WECC,180,37,500,0,0,47.036269,-120.206494,14
56405,56405,Nevada Solar One,ONE,NV,Clark,NEVP,WECC,180,35.799798,75700,0,2,35.799798,-114.98173,14
56481,56481,SunE Alamosa,"1,2",CO,Alamosa,PSCO,WECC,180,20,8200,0,2,37.690304,-105.880501,14
56500,56500,Western 102 Power Plant,PV1,NV,Storey,NEVP,WECC,180,21,1000,0,0,39.5603,-119.5108,14
56568,56568,Nellis Air Force Base Solar Array,"NS1,NS2,NS3",NV,Clark,NEVP,WECC,0,0,14000.000000000002,0,2,36.260278,-115.0544,14
56768,56768,CalRenew-1,CR1,CA,Fresno,CISO,WECC,198,20,5000,0,0,36.7575,-120.3658,14
56812,56812,Solana Generating Station,"GEN 1,GEN2",AZ,Maricopa,AZPS,WECC,180,32.922294,280000,0,2,32.922294,-112.95594,14
56814,56814,ELACC Photovoltaic Power Facility,"PV1,PV2",CA,Los Angeles,CISO,WECC,180,2,1000,0,0,34.040278,-118.148056,14
56815,56815,Denver Int Airport,1,CO,Denver,PSCO,WECC,90,39.836789,1900,0,2,39.836789,-104.697149,14
56862,56862,Bolthouse S&P and Rowen Farms Solar,"1,2,3,4",CA,Los Angeles,CISO,WECC,180,15,1200,0,2,34.5644,-117.6933,14
56875,56875,Sacramento Soleil LLC,TBD,CA,Sacramento,BANC,WECC,205,45,1000,2,0,38.44979,-121.16469,14
56877,56877,Hall's Warehouse Solar Project,TBD,NJ,Middlesex,PJM,RFC,192,5,1600,2,0,40.573708,-74.394414,14
56883,56883,Pennsauken Solar,"GEN 1,GEN 2,GEN 3,GEN 4,GEN 5,GEN 6,GEN 7,GEN 8,GEN 9,GEN10",NJ,Camden,PJM,RFC,195,25,3900,0,0,39.9894,-75.04,14
